doi,cited_by,resolution_method,article_title,journal,year
10.1364/oic.2007.tuepdp2,cremers2019,crossref_deposited,,,
10.1109/bald.2016.7886526,cremers2019,bibliographic_search,Influence of ALD temperature on thin film conformality: Investigation with microscopic lateral high-aspect-ratio structures,,2016
10.1088/2053-1583/3/1/014004,popov2025,crossref_deposited,,2D Mater.,2016
10.1088/2053-1583/aa9ea5,popov2025,crossref_deposited,,2D Mater.,2017
10.1021/acsaelm.1c00030,popov2025,crossref_deposited,,ACS Appl. Electron. Mater.,2021
10.1021/acsaelm.1c00145,popov2025,crossref_deposited,,ACS Appl. Electron. Mater.,2021
10.1021/acsaelm.3c00245,popov2025,crossref_deposited,,ACS Appl. Electron. Mater.,2023
10.1021/acsaem.9b02507,popov2025,crossref_deposited,,ACS Appl. Energy Mater.,2020
10.1021/acsaem.3c00960,popov2025,crossref_deposited,,ACS Appl. Energy Mater.,2023
10.1021/am2013097,cremers2019,crossref_deposited,Spatial atomic layer deposition of zinc oxide thin films,ACS Appl. Mater. Interfaces,2012
10.1021/am401092z,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2013
10.1021/am401127s,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2013
10.1021/am505107s,cremers2019,crossref_deposited,"Conformal atomic layer deposition of alumina on millimeter tall, vertically-aligned carbon nanotube arrays",ACS Appl. Mater. Interfaces,2014
10.1021/am404498y,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2014
10.1021/am502085c,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2014
10.1021/am501331w,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2014
10.1021/am500285d,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2014
10.1021/am508590j,cremers2019,crossref_deposited,Surface engineered CuO nanowires with ZnO islands for CO2 photoreduction,ACS Appl. Mater. Interfaces,2015
10.1021/acsami.5b01531,cremers2019,crossref_deposited,Low-temperature conformal atomic layer deposition of SiNx films using Si2Cl6 and NH3 plasma,ACS Appl. Mater. Interfaces,2015
10.1021/am508071y,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2015
10.1021/acsami.6b06175,cremers2019,crossref_deposited,Plasma-enhanced atomic layer deposition of silicon nitride using a novel silylamine precursor,ACS Appl. Mater. Interfaces,2016
10.1021/acsami.5b11878,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2016
10.1021/acsami.6b04529,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2016
10.1021/acsami.7b02883,cremers2019,crossref_deposited,Boron nitride nanoporous membranes with high surface charge by atomic layer deposition,ACS Appl. Mater. Interfaces,2017
10.1021/acsami.7b08097,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2017
10.1021/acsami.6b13033,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2017
10.1021/acsami.7b04985,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2017
10.1021/acsami.7b07113,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2017
10.1021/acsami.7b12303,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2017
10.1021/acsami.8b17194,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2018
10.1021/acsami.8b04573,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2018
10.1021/acsami.7b13467,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2018
10.1021/acsami.8b03074,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2018
10.1021/acsami.8b00813,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2018
10.1021/acsami.8b12251,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2018
10.1021/acsami.9b07090,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2019
10.1021/acsami.9b08926,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2019
10.1021/acsami.9b15790,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2019
10.1021/acsami.9b16933,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2019
10.1021/acsami.0c03747,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2020
10.1021/acsami.0c03578,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2020
10.1021/acsami.9b18412,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2020
10.1021/acsami.1c23889,popov2025,crossref_deposited,,ACS Appl. Mater. Interfaces,2022
10.1021/acsanm.9b00808,popov2025,crossref_deposited,,ACS Appl. Nano Mater.,2019
10.1021/acsanm.9b02153,popov2025,crossref_deposited,,ACS Appl. Nano Mater.,2019
10.1021/acsanm.0c02820,popov2025,crossref_deposited,,ACS Appl. Nano Mater.,2021
10.1021/acsanm.3c03319,popov2025,crossref_deposited,,ACS Appl. Nano Mater.,2023
10.1021/cs501862h,cremers2019|popov2025,crossref_deposited,Catalyst design with atomic layer deposition,ACS Catal.,2015
10.1021/cs501532b,popov2025,crossref_deposited,,ACS Catal.,2015
10.1021/acsenergylett.7b01056,popov2025,crossref_deposited,,ACS Energy Lett.,2017
10.1021/acsmaterialsau.2c00075,popov2025,crossref_deposited,,ACS Mater. Au,2023
10.1021/acsmaterialsau.3c00002,popov2025,crossref_deposited,,ACS Mater. Au,2023
10.1021/nn505480w,popov2025,crossref_deposited,,ACS Nano,2014
10.1021/acsnano.5b02166,cremers2019,crossref_deposited,Next-generation lithium metal anode engineering via atomic layer deposition,ACS Nano,2015
10.1021/acsnano.5b03694,cremers2019,crossref_deposited,Low-temperature atomic layer deposition of crystalline and photoactive ultrathin hematite films for solar water splitting,ACS Nano,2015
10.1021/nn505731n,cremers2019,crossref_deposited,Size-tuned ZnO nanocrucible arrays for magnetic nanodot synthesis via atomic layer deposition-assisted block polymer lithography,ACS Nano,2015
10.1021/acsnano.5b03429,cremers2019|popov2025,crossref_deposited,Atomically precise growth of catalytically active cobalt sulfide on flat surfaces and within a metal-organic framework via atomic layer deposition,ACS Nano,2015
10.1021/acsnano.7b02561,popov2025,crossref_deposited,,ACS Nano,2017
10.1021/acsomega.9b03149,popov2025,crossref_deposited,,ACS Omega,2019
10.1021/acsomega.9b01351,popov2025,crossref_deposited,,ACS Omega,2019
10.1021/acsomega.9b01003,popov2025,crossref_deposited,,ACS Omega,2019
10.1021/acsomega.2c06240,popov2025,crossref_deposited,,ACS Omega,2022
10.1021/acsomega.3c05657,popov2025,crossref_deposited,,ACS Omega,2023
10.1002/aic.14397,popov2025,crossref_deposited,,AIChE J.,2014
10.1063/1.4975928,popov2025,crossref_deposited,,AIP Adv.,2017
10.1063/1.5081727,popov2025,crossref_deposited,,AIP Adv.,2019
10.1063/1.2926917,cremers2019,crossref_deposited,Atomic layer deposition of tungsten thin films on opals in the visible region,AIP Conf. Proc.,2008
10.1063/1.4946884,popov2025,crossref_deposited,,APL Mater.,2016
10.1021/ar500360d,cremers2019,crossref_deposited,Atomic layer deposition of metal sulfide materials,Acc. Chem. Res.,2015
10.1021/acs.accounts.8b00012,cremers2019,crossref_deposited,The chemistry of inorganic precursors during the chemical deposition of films on solid surfaces,Acc. Chem. Res.,2018
10.1002/aelm.201600491,popov2025,crossref_deposited,,Adv. Electron. Mater.,2017
10.1002/aelm.201600341,popov2025,crossref_deposited,,Adv. Electron. Mater.,2017
10.1002/aelm.202101334,popov2025,crossref_deposited,,Adv. Electron. Mater.,2022
10.1002/aenm.201100330,popov2025,crossref_deposited,,Adv. Energy Mater.,2011
10.1002/adem.202100446,popov2025,crossref_deposited,,Adv. Eng. Mater.,2021
10.1002/adfm.201000389,cremers2019,crossref_deposited,Tuning the composition and nanostructure of Pt/Ir films via anodized aluminum oxide templated atomic layer deposition,Adv. Funct. Mater.,2010
10.1002/adfm.201001572,popov2025,crossref_deposited,,Adv. Funct. Mater.,2011
10.1002/adfm.201600461,popov2025,crossref_deposited,,Adv. Funct. Mater.,2016
10.1002/adfm.202206667,popov2025,crossref_deposited,,Adv. Funct. Mater.,2022
10.1002/adma.200304452,cremers2019,crossref_deposited,Ruthenium oxide nanotube arrays fabricated by atomic layer deposition using a carbon nanotube template,Adv. Mater.,2003
10.1002/adma.200700079,cremers2019,crossref_deposited,Synthesis and surface engineering of complex nanostructures by atomic layer deposition,Adv. Mater.,2007
10.1002/adma.201200397,cremers2019,crossref_deposited,Emerging applications of atomic layer deposition for lithium-ion battery studies,Adv. Mater.,2012
10.1002/adma.201401805,popov2025,crossref_deposited,,Adv. Mater.,2014
10.1002/adma.201703031,popov2025,crossref_deposited,,Adv. Mater.,2017
10.1002/adma.201703622,popov2025,crossref_deposited,,Adv. Mater.,2018
10.1002/admi.201600564,cremers2019,crossref_deposited,Atomic layer deposition for lithium-based batteries,Adv. Mater. Interfaces,2016
10.1002/admi.201600254,cremers2019,crossref_deposited,High-aspect-ratio parallel-plate microchannels applicable to kinetic analysis of chemical vapor deposition,Adv. Mater. Interfaces,2016
10.1002/admi.201600369,popov2025,crossref_deposited,,Adv. Mater. Interfaces,2016
10.1002/admi.201600496,popov2025,crossref_deposited,,Adv. Mater. Interfaces,2016
10.1002/admi.201770122,popov2025,crossref_deposited,,Adv. Mater. Interfaces,2017
10.1002/admi.201700155,popov2025,crossref_deposited,,Adv. Mater. Interfaces,2017
10.1002/admi.201700123,popov2025,crossref_deposited,,Adv. Mater. Interfaces,2017
10.1002/admi.201701366,popov2025,crossref_deposited,,Adv. Mater. Interfaces,2018
10.1002/admi.201701146,popov2025,crossref_deposited,,Adv. Mater. Interfaces,2018
10.1002/admi.201800423,popov2025,crossref_deposited,,Adv. Mater. Interfaces,2018
10.1002/admi.201801291,popov2025,crossref_deposited,,Adv. Mater. Interfaces,2019
10.1002/admi.202000318,popov2025,crossref_deposited,,Adv. Mater. Interfaces,2020
10.1002/admi.202001493,popov2025,crossref_deposited,,Adv. Mater. Interfaces,2020
10.1002/admi.202001677,popov2025,crossref_deposited,,Adv. Mater. Interfaces,2021
10.1002/admi.202200097,popov2025,crossref_deposited,,Adv. Mater. Interfaces,2022
10.1002/admi.202102035,popov2025,crossref_deposited,,Adv. Mater. Interfaces,2022
10.1002/admi.202200643,popov2025,crossref_deposited,,Adv. Mater. Interfaces,2022
10.1002/admi.202101278,popov2025,crossref_deposited,,Adv. Mater. Interfaces,2022
10.1002/admi.202202166,popov2025,crossref_deposited,,Adv. Mater. Interfaces,2023
10.1002/admi.202202445,popov2025,crossref_deposited,,Adv. Mater. Interfaces,2023
10.1002/admi.202400579,popov2025,crossref_deposited,,Adv. Mater. Interfaces,2024
10.1002/adom.202201326,popov2025,crossref_deposited,,Adv. Opt. Mater.,2022
10.1002/advs.201500022,popov2025,crossref_deposited,,Adv. Sci.,2015
10.1002/anie.200301652,popov2025,crossref_deposited,,Angew. Chem. Int. Ed.,2003
10.1002/anie.200900414,popov2025,crossref_deposited,,Angew. Chem. Int. Ed.,2009
10.1002/anie.201004801,popov2025,crossref_deposited,,Angew. Chem. Int. Ed.,2011
10.1002/anie.201602406,popov2025,crossref_deposited,,Angew. Chem. Int. Ed.,2016
10.1002/anie.201700449,popov2025,crossref_deposited,,Angew. Chem. Int. Ed.,2017
10.1002/anie.201611838,popov2025,crossref_deposited,,Angew. Chem. Int. Ed.,2017
10.1002/anie.201806985,popov2025,crossref_deposited,,Angew. Chem. Int. Ed.,2018
10.1002/andp.19093330106,cremers2019,crossref_deposited,Die Gesetze der Molekularströmung und der inneren Reibungsströmung der Gase durch Röhren,Ann. Phys.,1909
10.1002/andp.19303990503,cremers2019,crossref_deposited,Uber eine Messung der molekularen Geschwindigkeit und eine Prüfung des Kosinusgesetzes,Ann. Phys.,1930
10.1002/andp.19324040804,cremers2019,crossref_deposited,Uber die Strömung sehr verdünnter Gase durch Röhren von beliebiger Länge,Ann. Phys.,1932
10.1146/annurev-chembioeng-060816-101547,cremers2019,crossref_deposited,Nanoengineering heterogeneous catalysts by atomic layer deposition,Annu. Rev. Chem. Biomol.,2017
10.1016/j.apmt.2021.101017,popov2025,crossref_deposited,,Appl. Mater. Today,2021
10.3390/applnano4010003,popov2025,crossref_deposited,,Appl. Nano,2023
10.1364/ao.49.001242,cremers2019,crossref_deposited,Optical coatings in microscale channels by atomic layer deposition,Appl. Opt.,2010
10.1063/1.118494,cremers2019,crossref_deposited,Atomic layer controlled growth of SiO2 films using binary reaction sequence chemistry,Appl. Phys. Lett.,1997
10.1063/1.1570926,cremers2019,crossref_deposited,Atomic-layer deposition of wear-resistant coatings for microelectromechanical devices,Appl. Phys. Lett.,2003
10.1063/1.1900957,cremers2019,crossref_deposited,Fabrication of inverted opal ZnO photonic crystals by atomic layer deposition,Appl. Phys. Lett.,2005
10.1063/1.2245216,cremers2019,crossref_deposited,Atomic layer deposition of W on nanoporous carbon aerogels,Appl. Phys. Lett.,2006
10.1063/1.2338776,cremers2019,crossref_deposited,Plasma-assisted atomic layer deposition of Al2O3 moisture permeation barriers on polymers,Appl. Phys. Lett.,2006
10.1063/1.2901880,cremers2019,crossref_deposited,Quantum chemical study of the initial surface reactions of atomic layer deposition GaAs for photonic crystal fabrication,Appl. Phys. Lett.,2008
10.1063/1.3525929,popov2025,crossref_deposited,,Appl. Phys. Lett.,2010
10.1063/1.3400213,popov2025,crossref_deposited,,Appl. Phys. Lett.,2010
10.1063/1.3579195,popov2025,crossref_deposited,,Appl. Phys. Lett.,2011
10.1063/1.4752727,popov2025,crossref_deposited,,Appl. Phys. Lett.,2012
10.1063/1.4829138,popov2025,crossref_deposited,,Appl. Phys. Lett.,2013
10.1063/1.4811788,popov2025,crossref_deposited,,Appl. Phys. Lett.,2013
10.1063/1.4867469,popov2025,crossref_deposited,,Appl. Phys. Lett.,2014
10.1063/1.4939654,cremers2019,crossref_deposited,What is limiting low-temperature atomic layer deposition of Al2O3? A vibrational sumfrequency generation study,Appl. Phys. Lett.,2016
10.1063/1.4998577,cremers2019,crossref_deposited,Atomic layer deposition of aluminum fluoride using Al(CH3)3 and SF6 plasma,Appl. Phys. Lett.,2017
10.1063/1.5056223,popov2025,crossref_deposited,,Appl. Phys. Lett.,2018
10.1063/1.5098766,popov2025,crossref_deposited,,Appl. Phys. Lett.,2019
10.1063/1.5060967,popov2025,crossref_deposited,,Appl. Phys. Rev.,2019
10.1016/s0169-4332(00)00007-6,cremers2019,crossref_deposited,Recombination of neutral oxygen atoms on stainless steel surface,Appl. Surf. Sci.,2000
10.1016/j.apsusc.2009.02.055,cremers2019,crossref_deposited,Applied surface science method to determine the sticking coefficient of precursor molecules in atomic layer deposition,Appl. Surf. Sci.,2009
10.1016/j.apsusc.2010.01.025,cremers2019,crossref_deposited,Temperature dependence of the sticking coefficient in atomic layer deposition,Appl. Surf. Sci.,2010
10.1016/j.apsusc.2010.03.049,popov2025,crossref_deposited,,Appl. Surf. Sci.,2010
10.1016/j.apsusc.2010.07.051,popov2025,crossref_deposited,,Appl. Surf. Sci.,2010
10.1016/j.apsusc.2012.05.019,popov2025,crossref_deposited,,Appl. Surf. Sci.,2012
10.1016/j.apsusc.2014.10.025,popov2025,crossref_deposited,,Appl. Surf. Sci.,2014
10.1016/j.apsusc.2014.05.092,popov2025,crossref_deposited,,Appl. Surf. Sci.,2014
10.1016/j.apsusc.2014.09.054,popov2025,crossref_deposited,,Appl. Surf. Sci.,2014
10.1016/j.apsusc.2014.09.131,popov2025,crossref_deposited,,Appl. Surf. Sci.,2014
10.1016/j.apsusc.2015.05.062,popov2025,crossref_deposited,,Appl. Surf. Sci.,2015
10.1016/j.apsusc.2015.04.154,popov2025,crossref_deposited,,Appl. Surf. Sci.,2015
10.1016/j.apsusc.2016.04.096,popov2025,crossref_deposited,,Appl. Surf. Sci.,2016
10.1016/j.apsusc.2016.04.120,popov2025,crossref_deposited,,Appl. Surf. Sci.,2016
10.1016/j.apsusc.2017.06.016,cremers2019,crossref_deposited,A pressure tuned stop-flow atomic layer deposition process for MoS2 on high porous nanostructure and fabrication of TiO2/MoS2 core/shell inverse opal structure,Appl. Surf. Sci.,2017
10.1016/j.apsusc.2016.11.192,popov2025,crossref_deposited,,Appl. Surf. Sci.,2017
10.1016/j.apsusc.2017.05.066,popov2025,crossref_deposited,,Appl. Surf. Sci.,2017
10.1016/j.apsusc.2018.05.017,popov2025,crossref_deposited,,Appl. Surf. Sci.,2018
10.1016/j.apsusc.2018.07.153,popov2025,crossref_deposited,,Appl. Surf. Sci.,2018
10.1016/j.apsusc.2019.04.262,popov2025,crossref_deposited,,Appl. Surf. Sci.,2019
10.1016/j.apsusc.2019.03.071,popov2025,crossref_deposited,,Appl. Surf. Sci.,2019
10.1016/j.apsusc.2019.05.242,popov2025,crossref_deposited,,Appl. Surf. Sci.,2019
10.1016/j.apsusc.2019.144804,popov2025,crossref_deposited,,Appl. Surf. Sci.,2020
10.1016/j.apsusc.2021.150603,popov2025,crossref_deposited,,Appl. Surf. Sci.,2021
10.1016/j.apsusc.2020.148758,popov2025,crossref_deposited,,Appl. Surf. Sci.,2021
10.1016/j.apsusc.2021.150152,popov2025,crossref_deposited,,Appl. Surf. Sci.,2021
10.1016/j.apsusc.2021.150373,popov2025,crossref_deposited,,Appl. Surf. Sci.,2021
10.1016/j.apsusc.2021.152062,popov2025,crossref_deposited,,Appl. Surf. Sci.,2022
10.1016/j.apsusc.2023.156834,popov2025,crossref_deposited,,Appl. Surf. Sci.,2023
10.1016/j.apsusc.2023.156517,popov2025,crossref_deposited,,Appl. Surf. Sci.,2023
10.3762/bjnano.2.13,cremers2019,crossref_deposited,Pore structure and surface area of silica SBA-15: Influence of washing and scale-up,Beilstein J. Nanotechnol.,2011
10.3762/bjnano.5.25,cremers2019,crossref_deposited,Modeling and optimization of atomic layer deposition processes on vertically aligned carbon nanotubes,Beilstein J. Nanotechnol.,2014
10.3762/bjnano.14.89,popov2025,crossref_deposited,,Beilstein J. Nanotechnol.,2023
10.1088/1758-5090/aab981,popov2025,crossref_deposited,,Biofabrication,2018
10.1002/bkcs.10400,popov2025,crossref_deposited,,Bull. Korean Chem. Soc.,2015
10.1002/bkcs.11153,popov2025,crossref_deposited,,Bull. Korean Chem. Soc.,2017
10.1016/j.cattod.2003.11.022,cremers2019,crossref_deposited,Recombination of oxygen atomic excited states produced by non-equilibrium RF plasma on different semiconductor materials: Catalytic phenomena and modelling,Catal. Today,2004
10.1016/j.ceramint.2015.05.015,popov2025,crossref_deposited,,Ceram. Int.,2015
10.1016/j.ceramint.2015.12.109,popov2025,crossref_deposited,,Ceram. Int.,2016
10.1016/j.ceramint.2016.10.186,popov2025,crossref_deposited,,Ceram. Int.,2017
10.1016/j.ceramint.2017.03.087,popov2025,crossref_deposited,,Ceram. Int.,2017
10.1016/j.ceramint.2018.09.263,popov2025,crossref_deposited,,Ceram. Int.,2019
10.1016/j.ceramint.2019.10.018,popov2025,crossref_deposited,,Ceram. Int.,2020
10.1016/j.ceramint.2019.10.254,popov2025,crossref_deposited,,Ceram. Int.,2020
10.1016/j.ceramint.2022.10.047,popov2025,crossref_deposited,,Ceram. Int.,2023
10.1039/c6cc05568k,cremers2019,crossref_deposited,Atomic and molecular layer deposition: Off the beaten track,Chem. Commun.,2017
10.1039/c8cc04998j,popov2025,crossref_deposited,,Chem. Commun.,2018
10.1039/c8cc10175b,popov2025,crossref_deposited,,Chem. Commun.,2019
10.1016/j.cej.2022.136123,popov2025,crossref_deposited,,Chem. Eng. J.,2022
10.1002/chem.201702939,popov2025,crossref_deposited,,Chem. Eur. J.,2017
10.1002/chem.201802317,popov2025,crossref_deposited,,Chem. Eur. J.,2018
10.1002/chem.202005268,popov2025,crossref_deposited,,Chem. Eur. J.,2021
10.1002/chem.202101126,popov2025,crossref_deposited,,Chem. Eur. J.,2021
10.1021/cm020357x,cremers2019,crossref_deposited,Atomic layer deposition of hafnium and zirconium oxides using metal amide precursors,Chem. Mater.,2002
10.1021/cm011176i,cremers2019,crossref_deposited,Growth of aluminum nitride on porous alumina and silica through separate saturated gas-solid reactions of trimethylaluminum and ammonia,Chem. Mater.,2002
10.1021/cm0303080,cremers2019,crossref_deposited,Conformal coating on ultrahigh-aspect-ratio nanopores of anodic alumina by atomic layer deposition,Chem. Mater.,2003
10.1021/cm021772s,cremers2019,crossref_deposited,Highly conformal thin films of tungsten nitride prepared by atomic layer deposition from a novel precursor,Chem. Mater.,2003
10.1021/cm020607+,cremers2019,crossref_deposited,Growth of ZnO/Al2O3 alloy films using atomic layer deposition techniques,Chem. Mater.,2003
10.1021/cm021333t,popov2025,crossref_deposited,,Chem. Mater.,2003
10.1021/cm0605421,cremers2019,crossref_deposited,CVD growth kinetics of HfB2 thin films from the single-source precursor Hf(BH4)4,Chem. Mater.,2006
10.1021/cm0626482,cremers2019,crossref_deposited,Radical enhanced atomic layer deposition of tantalum oxide,Chem. Mater.,2007
10.1021/cm801187t,cremers2019,crossref_deposited,Atomic layer deposition of platinum oxide and metallic platinum thin films from pt(acac)2 and Ozone,Chem. Mater.,2008
10.1021/cm800948k,popov2025,crossref_deposited,,Chem. Mater.,2008
10.1021/cm901687w,cremers2019,crossref_deposited,Atomic layer deposition of iridium thin films by consecutive oxidation and reduction steps,Chem. Mater.,2009
10.1021/cm9031978,cremers2019,crossref_deposited,Atomic layer deposition of Ir-Pt alloy films,Chem. Mater.,2010
10.1021/cm101812k,popov2025,crossref_deposited,,Chem. Mater.,2010
10.1021/cm102600m,popov2025,crossref_deposited,,Chem. Mater.,2010
10.1021/cm902294e,popov2025,crossref_deposited,,Chem. Mater.,2010
10.1021/cm102003y,popov2025,crossref_deposited,,Chem. Mater.,2010
10.1021/cm100061n,popov2025,crossref_deposited,,Chem. Mater.,2010
10.1021/cm1011108,popov2025,crossref_deposited,,Chem. Mater.,2010
10.1021/cm100926r,popov2025,crossref_deposited,,Chem. Mater.,2010
10.1021/cm902180d,popov2025,crossref_deposited,,Chem. Mater.,2010
10.1021/cm2001144,cremers2019,crossref_deposited,Surface loss in ozone-based atomic layer deposition processes,Chem. Mater.,2011
10.1021/cm102904f,popov2025,crossref_deposited,,Chem. Mater.,2011
10.1021/cm202475e,popov2025,crossref_deposited,,Chem. Mater.,2011
10.1021/cm201412p,popov2025,crossref_deposited,,Chem. Mater.,2011
10.1021/cm103637t,popov2025,crossref_deposited,,Chem. Mater.,2011
10.1021/cm200899k,popov2025,crossref_deposited,,Chem. Mater.,2011
10.1021/cm103480d,popov2025,crossref_deposited,,Chem. Mater.,2011
10.1021/cm101673u,popov2025,crossref_deposited,,Chem. Mater.,2011
10.1021/cm2002572,popov2025,crossref_deposited,,Chem. Mater.,2011
10.1021/cm1026128,popov2025,crossref_deposited,,Chem. Mater.,2011
10.1021/cm301205p,cremers2019,crossref_deposited,Anisotropic atomic layer deposition profiles of TiO2 in hierarchical silica material with multiple porosity,Chem. Mater.,2012
10.1021/cm301658m,popov2025,crossref_deposited,,Chem. Mater.,2012
10.1021/cm2029189,popov2025,crossref_deposited,,Chem. Mater.,2012
10.1021/cm3015463,popov2025,crossref_deposited,,Chem. Mater.,2012
10.1021/cm2020862,popov2025,crossref_deposited,,Chem. Mater.,2012
10.1021/cm300712x,popov2025,crossref_deposited,,Chem. Mater.,2012
10.1021/cm300539a,popov2025,crossref_deposited,,Chem. Mater.,2012
10.1021/cm2026812,popov2025,crossref_deposited,,Chem. Mater.,2012
10.1021/cm201795s,popov2025,crossref_deposited,,Chem. Mater.,2012
10.1021/cm2030735,popov2025,crossref_deposited,,Chem. Mater.,2012
10.1021/cm301594p,popov2025,crossref_deposited,,Chem. Mater.,2012
10.1021/cm202901z,popov2025,crossref_deposited,,Chem. Mater.,2012
10.1021/cm400046w,popov2025,crossref_deposited,,Chem. Mater.,2013
10.1021/cm304125e,popov2025,crossref_deposited,,Chem. Mater.,2013
10.1021/cm303703r,popov2025,crossref_deposited,,Chem. Mater.,2013
10.1021/cm402974j,popov2025,crossref_deposited,,Chem. Mater.,2013
10.1021/cm401279v,popov2025,crossref_deposited,,Chem. Mater.,2013
10.1021/cm3027225,popov2025,crossref_deposited,,Chem. Mater.,2013
10.1021/cm501109r,popov2025,crossref_deposited,,Chem. Mater.,2014
10.1021/cm4031057,popov2025,crossref_deposited,,Chem. Mater.,2014
