paper,kind,reason_class,status,a,b,a_figure,b_figure,reason
10.1038_am.2016.182,candidate_pair,CONDITION_ONLY_NO_POSITIVE_LINK,UNRESOLVED,CAND-10.103-016,CAND-10.103-028,1,1,"case-defining conditions agree, but the source states no positive linkage (same sample / same run / shared sample code) between these results; missing is not the same as same"
10.1038_am.2016.182,candidate_pair,CONDITION_ONLY_NO_POSITIVE_LINK,UNRESOLVED,CAND-10.103-017,CAND-10.103-029,1,1,"case-defining conditions agree, but the source states no positive linkage (same sample / same run / shared sample code) between these results; missing is not the same as same"
10.1038_am.2016.182,candidate_pair,CONDITION_ONLY_NO_POSITIVE_LINK,UNRESOLVED,CAND-10.103-030,CAND-10.103-041,2,2,"case-defining conditions agree, but the source states no positive linkage (same sample / same run / shared sample code) between these results; missing is not the same as same"
10.1038_am.2016.182,candidate_pair,CONDITION_ONLY_NO_POSITIVE_LINK,UNRESOLVED,CAND-10.103-032,CAND-10.103-043,2,2,"case-defining conditions agree, but the source states no positive linkage (same sample / same run / shared sample code) between these results; missing is not the same as same"
10.1038_am.2016.182,candidate_pair,CONDITION_ONLY_NO_POSITIVE_LINK,UNRESOLVED,CAND-10.103-033,CAND-10.103-044,2,2,"case-defining conditions agree, but the source states no positive linkage (same sample / same run / shared sample code) between these results; missing is not the same as same"
10.1038_am.2016.182,candidate_pair,CONDITION_ONLY_NO_POSITIVE_LINK,UNRESOLVED,CAND-10.103-034,CAND-10.103-045,2,2,"case-defining conditions agree, but the source states no positive linkage (same sample / same run / shared sample code) between these results; missing is not the same as same"
10.1038_am.2016.182,candidate_pair,CONDITION_ONLY_NO_POSITIVE_LINK,UNRESOLVED,CAND-10.103-035,CAND-10.103-046,2,2,"case-defining conditions agree, but the source states no positive linkage (same sample / same run / shared sample code) between these results; missing is not the same as same"
10.1038_am.2016.182,candidate_pair,CONDITION_ONLY_NO_POSITIVE_LINK,UNRESOLVED,CAND-10.103-038,CAND-10.103-048,2,2,"case-defining conditions agree, but the source states no positive linkage (same sample / same run / shared sample code) between these results; missing is not the same as same"
10.1038_am.2016.182,candidate_pair,CONDITION_ONLY_NO_POSITIVE_LINK,UNRESOLVED,CAND-10.103-039,CAND-10.103-049,2,2,"case-defining conditions agree, but the source states no positive linkage (same sample / same run / shared sample code) between these results; missing is not the same as same"
10.1038_am.2016.182,candidate_pair,CONDITION_ONLY_NO_POSITIVE_LINK,UNRESOLVED,CAND-10.103-040,CAND-10.103-050,2,2,"case-defining conditions agree, but the source states no positive linkage (same sample / same run / shared sample code) between these results; missing is not the same as same"
10.1038_am.2016.182,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::SUP::10.1038_am.2016.182::F4b,,4,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1038_am.2016.182,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::SUP::10.1038_am.2016.182::F4c,,4,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1038_am.2016.182,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::SUP::10.1038_am.2016.182::F4d,,4,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1038_am.2016.182,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::SUP::10.1038_am.2016.182::F4e,,4,,no deposition case is established for this result: the extraction stage holds no data for this panel
10.1038_am.2016.182,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::SUP::10.1038_am.2016.182::F4g,,4,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
