doi,doi_url,journal,status,article_title,year,cited_by
10.1088/2053-1583/aa9ea5,https://doi.org/10.1088/2053-1583/aa9ea5,2D Mater.,not_oa,,2017,popov2025
10.1021/acsaelm.1c00030,https://doi.org/10.1021/acsaelm.1c00030,ACS Appl. Electron. Mater.,oa_no_pdf_url,,2021,popov2025
10.1021/acsaelm.1c00145,https://doi.org/10.1021/acsaelm.1c00145,ACS Appl. Electron. Mater.,not_oa,,2021,popov2025
10.1021/acsaelm.3c00245,https://doi.org/10.1021/acsaelm.3c00245,ACS Appl. Electron. Mater.,http_error,,2023,popov2025
10.1021/acsaem.3c00960,https://doi.org/10.1021/acsaem.3c00960,ACS Appl. Energy Mater.,http_error,,2023,popov2025
10.1021/acsaem.9b02507,https://doi.org/10.1021/acsaem.9b02507,ACS Appl. Energy Mater.,not_oa,,2020,popov2025
10.1021/acsami.0c03578,https://doi.org/10.1021/acsami.0c03578,ACS Appl. Mater. Interfaces,not_oa,,2020,popov2025
10.1021/acsami.0c03747,https://doi.org/10.1021/acsami.0c03747,ACS Appl. Mater. Interfaces,not_oa,,2020,popov2025
10.1021/acsami.1c23889,https://doi.org/10.1021/acsami.1c23889,ACS Appl. Mater. Interfaces,not_oa,,2022,popov2025
10.1021/acsami.5b01531,https://doi.org/10.1021/acsami.5b01531,ACS Appl. Mater. Interfaces,not_oa,Low-temperature conformal atomic layer deposition of SiNx films using Si2Cl6 and NH3 plasma,2015,cremers2019
10.1021/acsami.5b11878,https://doi.org/10.1021/acsami.5b11878,ACS Appl. Mater. Interfaces,not_oa,,2016,popov2025
10.1021/acsami.6b04529,https://doi.org/10.1021/acsami.6b04529,ACS Appl. Mater. Interfaces,not_oa,,2016,popov2025
10.1021/acsami.6b06175,https://doi.org/10.1021/acsami.6b06175,ACS Appl. Mater. Interfaces,not_oa,Plasma-enhanced atomic layer deposition of silicon nitride using a novel silylamine precursor,2016,cremers2019
10.1021/acsami.6b13033,https://doi.org/10.1021/acsami.6b13033,ACS Appl. Mater. Interfaces,oa_no_pdf_url,,2017,popov2025
10.1021/acsami.7b02883,https://doi.org/10.1021/acsami.7b02883,ACS Appl. Mater. Interfaces,oa_no_pdf_url,Boron nitride nanoporous membranes with high surface charge by atomic layer deposition,2017,cremers2019
10.1021/acsami.7b04985,https://doi.org/10.1021/acsami.7b04985,ACS Appl. Mater. Interfaces,not_oa,,2017,popov2025
10.1021/acsami.7b07113,https://doi.org/10.1021/acsami.7b07113,ACS Appl. Mater. Interfaces,not_oa,,2017,popov2025
10.1021/acsami.7b08097,https://doi.org/10.1021/acsami.7b08097,ACS Appl. Mater. Interfaces,not_oa,,2017,popov2025
10.1021/acsami.7b12303,https://doi.org/10.1021/acsami.7b12303,ACS Appl. Mater. Interfaces,not_oa,,2017,popov2025
10.1021/acsami.7b13467,https://doi.org/10.1021/acsami.7b13467,ACS Appl. Mater. Interfaces,not_oa,,2018,popov2025
10.1021/acsami.8b00813,https://doi.org/10.1021/acsami.8b00813,ACS Appl. Mater. Interfaces,not_oa,,2018,popov2025
10.1021/acsami.8b03074,https://doi.org/10.1021/acsami.8b03074,ACS Appl. Mater. Interfaces,not_oa,,2018,popov2025
10.1021/acsami.8b04573,https://doi.org/10.1021/acsami.8b04573,ACS Appl. Mater. Interfaces,oa_no_pdf_url,,2018,popov2025
10.1021/acsami.8b12251,https://doi.org/10.1021/acsami.8b12251,ACS Appl. Mater. Interfaces,not_oa,,2018,popov2025
10.1021/acsami.8b17194,https://doi.org/10.1021/acsami.8b17194,ACS Appl. Mater. Interfaces,oa_no_pdf_url,,2018,popov2025
10.1021/acsami.9b07090,https://doi.org/10.1021/acsami.9b07090,ACS Appl. Mater. Interfaces,not_oa,,2019,popov2025
10.1021/acsami.9b08926,https://doi.org/10.1021/acsami.9b08926,ACS Appl. Mater. Interfaces,not_oa,,2019,popov2025
10.1021/acsami.9b15790,https://doi.org/10.1021/acsami.9b15790,ACS Appl. Mater. Interfaces,not_oa,,2019,popov2025
10.1021/acsami.9b16933,https://doi.org/10.1021/acsami.9b16933,ACS Appl. Mater. Interfaces,oa_no_pdf_url,,2019,popov2025
10.1021/acsami.9b18412,https://doi.org/10.1021/acsami.9b18412,ACS Appl. Mater. Interfaces,not_oa,,2020,popov2025
10.1021/am2013097,https://doi.org/10.1021/am2013097,ACS Appl. Mater. Interfaces,not_oa,Spatial atomic layer deposition of zinc oxide thin films,2012,cremers2019
10.1021/am401092z,https://doi.org/10.1021/am401092z,ACS Appl. Mater. Interfaces,not_oa,,2013,popov2025
10.1021/am401127s,https://doi.org/10.1021/am401127s,ACS Appl. Mater. Interfaces,not_oa,,2013,popov2025
10.1021/am404498y,https://doi.org/10.1021/am404498y,ACS Appl. Mater. Interfaces,not_oa,,2014,popov2025
10.1021/am500285d,https://doi.org/10.1021/am500285d,ACS Appl. Mater. Interfaces,not_oa,,2014,popov2025
10.1021/am501331w,https://doi.org/10.1021/am501331w,ACS Appl. Mater. Interfaces,not_oa,,2014,popov2025
10.1021/am502085c,https://doi.org/10.1021/am502085c,ACS Appl. Mater. Interfaces,not_oa,,2014,popov2025
10.1021/am505107s,https://doi.org/10.1021/am505107s,ACS Appl. Mater. Interfaces,not_oa,"Conformal atomic layer deposition of alumina on millimeter tall, vertically-aligned carbon nanotube arrays",2014,cremers2019
10.1021/am508071y,https://doi.org/10.1021/am508071y,ACS Appl. Mater. Interfaces,not_oa,,2015,popov2025
10.1021/am508590j,https://doi.org/10.1021/am508590j,ACS Appl. Mater. Interfaces,not_oa,Surface engineered CuO nanowires with ZnO islands for CO2 photoreduction,2015,cremers2019
10.1021/acsanm.0c02820,https://doi.org/10.1021/acsanm.0c02820,ACS Appl. Nano Mater.,http_error,,2021,popov2025
10.1021/acsanm.3c03319,https://doi.org/10.1021/acsanm.3c03319,ACS Appl. Nano Mater.,not_oa,,2023,popov2025
10.1021/acsanm.9b00808,https://doi.org/10.1021/acsanm.9b00808,ACS Appl. Nano Mater.,oa_no_pdf_url,,2019,popov2025
10.1021/acsanm.9b02153,https://doi.org/10.1021/acsanm.9b02153,ACS Appl. Nano Mater.,not_oa,,2019,popov2025
10.1021/cs501532b,https://doi.org/10.1021/cs501532b,ACS Catal.,not_oa,,2015,popov2025
10.1021/cs501862h,https://doi.org/10.1021/cs501862h,ACS Catal.,oa_no_pdf_url,Catalyst design with atomic layer deposition,2015,cremers2019|popov2025
10.1021/acsenergylett.7b01056,https://doi.org/10.1021/acsenergylett.7b01056,ACS Energy Lett.,not_oa,,2017,popov2025
10.1021/acsmaterialsau.2c00075,https://doi.org/10.1021/acsmaterialsau.2c00075,ACS Mater. Au,http_error,,2023,popov2025
10.1021/acsmaterialsau.3c00002,https://doi.org/10.1021/acsmaterialsau.3c00002,ACS Mater. Au,http_error,,2023,popov2025
10.1021/acsnano.5b02166,https://doi.org/10.1021/acsnano.5b02166,ACS Nano,oa_no_pdf_url,Next-generation lithium metal anode engineering via atomic layer deposition,2015,cremers2019
10.1021/acsnano.5b03429,https://doi.org/10.1021/acsnano.5b03429,ACS Nano,http_error,Atomically precise growth of catalytically active cobalt sulfide on flat surfaces and within a metal-organic framework via atomic layer deposition,2015,cremers2019|popov2025
