paper,object_a,object_b,reason_class,evidence,resolvable,final_status
10.1038_am.2016.182,M::10.1038_am.2016.182__Fig3e,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1038_am.2016.182,M::10.1038_am.2016.182__Fig3f,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1038_am.2016.182,M::SUP::10.1038_am.2016.182::F4b,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1038_am.2016.182,M::SUP::10.1038_am.2016.182::F4c,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1038_am.2016.182,M::SUP::10.1038_am.2016.182::F4d,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1038_am.2016.182,M::SUP::10.1038_am.2016.182::F4e,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1038_am.2016.182,M::SUP::10.1038_am.2016.182::F4g,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1149_2.067203jes,M::10.1149_2.067203jes__Fig1a__exp01,,MEASUREMENT_ONLY_FIGURE,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on,no - reports no deposition,UNRESOLVED
10.1149_2.067203jes,M::10.1149_2.067203jes__Fig1a__exp02,,MEASUREMENT_ONLY_FIGURE,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on,no - reports no deposition,UNRESOLVED
10.1149_2.067203jes,M::10.1149_2.067203jes__Fig9a__exp01,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1149_2.067203jes,M::10.1149_2.067203jes__Fig9a__exp02,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1149_2.067203jes,M::10.1149_2.067203jes__Fig9b__exp01,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1149_2.067203jes,M::10.1149_2.067203jes__Fig9b__exp02,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1149_2.067203jes,M::10.1149_2.067203jes__Fig10a__exp01,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1149_2.067203jes,M::10.1149_2.067203jes__Fig10a__exp02,,REFERENCE_BY_DESIGN,"the legend 'Reference' names a comparison control, so this result is not attributed to a deposition case","no - a control, never attributed",UNRESOLVED
10.1149_2.067203jes,M::10.1149_2.067203jes__Fig10b,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1149_2.067203jes,M::10.1149_2.067203jes__Fig11b,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1039_c7ta03257a,M::10.1039_c7ta03257a__Fig7a__exp01,,REFERENCE_BY_DESIGN,"the legend 'uncoated' names a comparison control, so this result is not attributed to a deposition case","no - a control, never attributed",UNRESOLVED
10.1039_c7ta03257a,M::10.1039_c7ta03257a__Fig7a__exp02,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1039_c7ta03257a,M::10.1039_c7ta03257a__Fig8a__exp01,,REFERENCE_BY_DESIGN,"the legend 'uncoated' names a comparison control, so this result is not attributed to a deposition case","no - a control, never attributed",UNRESOLVED
10.1039_d0cp03358h,M::10.1039_d0cp03358h__Fig3b,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1039_d0cp03358h,M::10.1039_d0cp03358h__Fig5b__exp02,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1039_d0cp03358h,M::10.1039_d0cp03358h__Fig5b__exp03,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1039_d0cp03358h,M::10.1039_d0cp03358h__Fig9b__exp01,,SOURCE_TRULY_UNSPECIFIED,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on,no - the source does not say,UNRESOLVED
10.1039_d0cp03358h,M::10.1039_d0cp03358h__Fig9b__exp02,,SOURCE_TRULY_UNSPECIFIED,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on,no - the source does not say,UNRESOLVED
10.1039_d0cp03358h,M::10.1039_d0cp03358h__Fig9b__exp03,,SOURCE_TRULY_UNSPECIFIED,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on,no - the source does not say,UNRESOLVED
10.1039_d0cp03358h,M::10.1039_d0cp03358h__Fig9c__exp01,,SOURCE_TRULY_UNSPECIFIED,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on,no - the source does not say,UNRESOLVED
10.1039_d0cp03358h,M::10.1039_d0cp03358h__Fig9c__exp02,,SOURCE_TRULY_UNSPECIFIED,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on,no - the source does not say,UNRESOLVED
10.1039_d0cp03358h,M::10.1039_d0cp03358h__Fig9c__exp03,,SOURCE_TRULY_UNSPECIFIED,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on,no - the source does not say,UNRESOLVED
10.1039_d0cp03358h,M::10.1039_d0cp03358h__Fig9e__exp01,,SOURCE_TRULY_UNSPECIFIED,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on,no - the source does not say,UNRESOLVED
10.1039_d0cp03358h,M::10.1039_d0cp03358h__Fig9e__exp02,,SOURCE_TRULY_UNSPECIFIED,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on,no - the source does not say,UNRESOLVED
10.1039_d0cp03358h,M::10.1039_d0cp03358h__Fig9e__exp03,,SOURCE_TRULY_UNSPECIFIED,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on,no - the source does not say,UNRESOLVED
10.1039_d0cp03358h,M::10.1039_d0cp03358h__Fig9f__exp01,,SOURCE_TRULY_UNSPECIFIED,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on,no - the source does not say,UNRESOLVED
10.1039_d0cp03358h,M::10.1039_d0cp03358h__Fig9f__exp02,,SOURCE_TRULY_UNSPECIFIED,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on,no - the source does not say,UNRESOLVED
10.1039_d0cp03358h,M::10.1039_d0cp03358h__Fig9f__exp03,,SOURCE_TRULY_UNSPECIFIED,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on,no - the source does not say,UNRESOLVED
